gensci,analsci,collsci,pynam,GL_pyscinam,N
ARTHROPODA,AMPHIPODA,GAMMARIDEA,COROPHIUM CRASSICORNE,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,CYMADUSA COMPTA,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,DEXAMINE THEA,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,DULICHIA MONACANTHA,Gammaridae,13
ARTHROPODA,AMPHIPODA,GAMMARIDEA,DULICHIA PORRECTA,Gammaridae,21
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ELASMOPUS LAEVIS,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,EOBROLGUS SPINOSUS,Gammaridae,3
ARTHROPODA,AMPHIPODA,GAMMARIDEA,EPIMERIA LORICATA,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ERICTHONIUS BRASILIENSIS,Gammaridae,6
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ERICTHONIUS RUBRICORNIS,Gammaridae,332
ARTHROPODA,AMPHIPODA,GAMMARIDEA,EUSIRIDAE,Gammaridae,3
ARTHROPODA,AMPHIPODA,GAMMARIDEA,EUSIRUS SP,Gammaridae,2
ARTHROPODA,AMPHIPODA,GAMMARIDEA,GAMMARELLUS SP,Gammaridae,8
ARTHROPODA,AMPHIPODA,GAMMARIDEA,GAMMARIDEA,Gammaridae,23753
ARTHROPODA,AMPHIPODA,GAMMARIDEA,GAMMAROPSIS SP,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,GAMMARUS ANNULATUS,Gammaridae,82
ARTHROPODA,AMPHIPODA,GAMMARIDEA,GAMMARUS LAWRENCIANUS,Gammaridae,4
ARTHROPODA,AMPHIPODA,GAMMARIDEA,GAMMARUS MUCRONATUS,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,HAPLOOPS TUBICOLA,Gammaridae,4
ARTHROPODA,AMPHIPODA,GAMMARIDEA,HARPINIA PROPINQUA,Gammaridae,7
ARTHROPODA,AMPHIPODA,GAMMARIDEA,HAUSTORIIDAE,Gammaridae,120
ARTHROPODA,AMPHIPODA,GAMMARIDEA,HIPPOMEDON PROPINQUUS,Gammaridae,4
ARTHROPODA,AMPHIPODA,GAMMARIDEA,HIPPOMEDON SERRATUS,Gammaridae,104
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ISCHYROCERIDAE,Gammaridae,5
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ISCHYROCERUS ANGUIPES,Gammaridae,26
ARTHROPODA,AMPHIPODA,GAMMARIDEA,JASSA FALCATA,Gammaridae,3
ARTHROPODA,AMPHIPODA,GAMMARIDEA,LEMBOS SP,Gammaridae,4
ARTHROPODA,AMPHIPODA,GAMMARIDEA,LEPTOCHEIRUS PINGUIS,Gammaridae,1265
ARTHROPODA,AMPHIPODA,GAMMARIDEA,LEUCOTHOE SPINICARPA,Gammaridae,3
ARTHROPODA,AMPHIPODA,GAMMARIDEA,LYSIANASSIDAE,Gammaridae,222
ARTHROPODA,AMPHIPODA,GAMMARIDEA,LYSIANOPSIS ALBA,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,MAERA DANAE,Gammaridae,3
ARTHROPODA,AMPHIPODA,GAMMARIDEA,MAERA LOVENI,Gammaridae,2
ARTHROPODA,AMPHIPODA,GAMMARIDEA,MELITA DENTATA,Gammaridae,52
ARTHROPODA,AMPHIPODA,GAMMARIDEA,MELITA NITIDA,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,METOPELLA SP,Gammaridae,3
ARTHROPODA,AMPHIPODA,GAMMARIDEA,MICRODEUTOPUS GRYLLOTALPA,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,MICROPROTOPUS SP,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,MONOCULODES EDWARDSI,Gammaridae,223
ARTHROPODA,AMPHIPODA,GAMMARIDEA,MONOCULODES INTERMEDIUS,Gammaridae,8
ARTHROPODA,AMPHIPODA,GAMMARIDEA,OEDICEROTIDAE,Gammaridae,312
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ORCHOMENELLA GROENLANDICA,Gammaridae,2
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ORCHOMENELLA MINUTA,Gammaridae,5
